TX_date,Programme_URL,Image_URL,Transcript_URL,Transcript_present,Transcript_notes,Saved VTT file,First question,,,,,,,,,,,,,,,,
09/01/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/1515E0DF?bcast=131019267,https://stream.learningonscreen.ac.uk/trilt-cover-images/1515E0DF-Question-Time-2020-01-09T223500Z-BBC1-East.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/1515E0DF-Question-Time-2020-01-13T024000Z-BBC2-England-en-GB.vtt,Y,Doesn't match formula,Y,Is Harry and Meghan’s decision to step back as senior royals petulant and ill—judged?,,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/1515E0DF-Question-Time-2020-01-13T024000Z-BBC2-England-en-GB.vtt""","""https://stream.learningonscreen.ac.uk/trilt-transcripts/1515E0DF-Question-Time-2020-01-13T024000Z-BBC2-England-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1522896D-Question-Time-2020-01-16T223500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1543C7F4-Question-Time-2020-01-23T223500Z-BBC1-East-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15509DC4-Question-Time-2020-01-30T224000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/155C9258-Question-Time-2020-02-06T223500Z-BBC1-East-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1569A046-Question-Time-2020-02-13T223500Z-BBC1-East-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1576A330-Question-Time-2020-02-20T223500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1582A9EF-Question-Time-2020-02-27T223500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/158EEE39-Question-Time-2020-03-05T223500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/159BB546-Question-Time-2020-03-12T224000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15A83E00-Question-Time-2020-03-19T200000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15B49F3D-Question-Time-2020-03-26T200500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15C0FB13-Question-Time-2020-04-02T190000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15CE4F3C-Question-Time-2020-04-09T190500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15DAC1F4-Question-Time-2020-04-16T190500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15F22406-Question-Time-2020-04-30T214500Z-BBC1-East-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15FEA4FC-Question-Time-2020-05-07T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/160A5622-Question-Time-2020-05-14T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/16139A45-Question-Time-2020-05-21T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/161FB7A6-Question-Time-2020-05-28T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/162AED63-Question-Time-2020-06-04T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/163510D5-Question-Time-2020-06-11T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/16408212-Question-Time-2020-06-18T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/164B69C1-Question-Time-2020-06-25T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/16E82748-Question-Time-2020-09-17T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/16F519FA-Question-Time-2020-09-24T214500Z-BBC1-East-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/17021410-Question-Time-2020-10-01T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/170FC0A1-Question-Time-2020-10-08T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/171CE849-Question-Time-2020-10-15T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/172A4A3D-Question-Time-2020-10-22T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1737797A-Question-Time-2020-10-29T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1743BE1D-Question-Time-2020-11-05T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/174CBF76-Question-Time-2020-11-12T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1756B186-Question-Time-2020-11-19T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/175DD866-Question-Time-2020-11-26T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1767A08B-Question-Time-2020-12-03T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/176EB736-Question-Time-2020-12-10T224500Z-BBC1-London-en-GB.vtt""","""https://stream.learningonscreen.ac.uk/trilt-transcripts/1515E0DF-Question-Time-2020-01-13T024000Z-BBC2-England-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1522896D-Question-Time-2020-01-16T223500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1543C7F4-Question-Time-2020-01-23T223500Z-BBC1-East-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15509DC4-Question-Time-2020-01-30T224000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/155C9258-Question-Time-2020-02-06T223500Z-BBC1-East-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1569A046-Question-Time-2020-02-13T223500Z-BBC1-East-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1576A330-Question-Time-2020-02-20T223500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1582A9EF-Question-Time-2020-02-27T223500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/158EEE39-Question-Time-2020-03-05T223500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/159BB546-Question-Time-2020-03-12T224000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15A83E00-Question-Time-2020-03-19T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15B49F3D-Question-Time-2020-03-26T200500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15C0FB13-Question-Time-2020-04-02T190000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15CE4F3C-Question-Time-2020-04-09T190500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15DAC1F4-Question-Time-2020-04-16T190500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15F22406-Question-Time-2020-04-30T214500Z-BBC1-East-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/15FEA4FC-Question-Time-2020-05-07T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/160A5622-Question-Time-2020-05-14T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/16139A45-Question-Time-2020-05-21T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/161FB7A6-Question-Time-2020-05-28T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/162AED63-Question-Time-2020-06-04T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/163510D5-Question-Time-2020-06-11T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/16408212-Question-Time-2020-06-18T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/164B69C1-Question-Time-2020-06-25T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/16E82748-Question-Time-2020-09-17T215000Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/16F519FA-Question-Time-2020-09-24T214500Z-BBC1-East-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/17021410-Question-Time-2020-10-01T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/170FC0A1-Question-Time-2020-10-08T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/171CE849-Question-Time-2020-10-15T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/172A4A3D-Question-Time-2020-10-22T214500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1737797A-Question-Time-2020-10-29T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1743BE1D-Question-Time-2020-11-05T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/174CBF76-Question-Time-2020-11-12T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1756B186-Question-Time-2020-11-19T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/175DD866-Question-Time-2020-11-26T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/1767A08B-Question-Time-2020-12-03T224500Z-BBC1-London-en-GB.vtt"",""https://stream.learningonscreen.ac.uk/trilt-transcripts/176EB736-Question-Time-2020-12-10T224500Z-BBC1-London-en-GB.vtt""",,,,,,,,,,,*Harry and Meghan
16/01/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/1522896D?bcast=131064910,https://stream.learningonscreen.ac.uk/trilt-cover-images/1522896D-Question-Time-2020-01-16T223500Z-BBC1-London.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/1522896D-Question-Time-2020-01-16T223500Z-BBC1-London-en-GB.vtt,Y,,Y,Will reducing passenger duty only lead to more domestic ?ights and worsen the climate climate crisis?,,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/1522896D-Question-Time-2020-01-16T223500Z-BBC1-London-en-GB.vtt""",,,,,,,,,,,,,*Air Passenger Duty reduction
23/01/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/1543C7F4?bcast=131114171,https://stream.learningonscreen.ac.uk/trilt-cover-images/1543C7F4-Question-Time-2020-01-23T223500Z-BBC1-East.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/1543C7F4-Question-Time-2020-01-23T223500Z-BBC1-East-en-GB.vtt,Y,,Y," As the mother of a 14—year—old boy who has been mugged locally three times this year, once at knife point, what are you going to do about it?",,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/1543C7F4-Question-Time-2020-01-23T223500Z-BBC1-East-en-GB.vtt""",,,,,,,,,,,,,*Knife crime
30/01/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/15509DC4?bcast=131222788,https://stream.learningonscreen.ac.uk/trilt-cover-images/15509DC4-Question-Time-2020-01-30T224000Z-BBC1-London.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/15509DC4-Question-Time-2020-01-30T224000Z-BBC1-London-en-GB.vtt,Y,,Y,Should the Department for Transport and the Treasury shoulder the majority of the blame for failures of Northern Rail?,,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/15509DC4-Question-Time-2020-01-30T224000Z-BBC1-London-en-GB.vtt""",,,,,,,,,,,,,*Northern Rail
06/02/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/155C9258?bcast=131210465,https://stream.learningonscreen.ac.uk/trilt-cover-images/155C9258-Question-Time-2020-02-06T223500Z-BBC1-East.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/155C9258-Question-Time-2020-02-06T223500Z-BBC1-East-en-GB.vtt,Y,,Y,"Is stopping the automatic release of terrorists enough, or is it just postponing the problem?",,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/155C9258-Question-Time-2020-02-06T223500Z-BBC1-East-en-GB.vtt""",,,,,,,,,,,,,*Stopping early release of terrorists
13/02/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/1569A046?bcast=131260086,https://stream.learningonscreen.ac.uk/trilt-cover-images/1569A046-Question-Time-2020-02-13T223500Z-BBC1-East.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/1569A046-Question-Time-2020-02-13T223500Z-BBC1-East-en-GB.vtt,Y,,Y,Was Sajid Javid right to resign as Chancellor today?,,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/1569A046-Question-Time-2020-02-13T223500Z-BBC1-East-en-GB.vtt""",,,,,,,,,,,,,*Sajid Javid resignation
20/02/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/1576A330?bcast=131309499,https://stream.learningonscreen.ac.uk/trilt-cover-images/1576A330-Question-Time-2020-02-20T223500Z-BBC1-London.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/1576A330-Question-Time-2020-02-20T223500Z-BBC1-London-en-GB.vtt,Y,,Y,"Would you please explain to me, a community nurse, how chronic understaffing in social care will be tackled given the government’s new immigration system. [2-part question from different audience members] Hoteliers struggle all year to staff permanent positions. Who will be recruited into the seasonal positions that are traditionally filled by the EU citizens?",,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/1576A330-Question-Time-2020-02-20T223500Z-BBC1-London-en-GB.vtt""",,,,,,,,,,,,,*Post-Brexit immigration system (in healthcare and hopsitality)
27/02/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/1582A9EF?bcast=131356911,https://stream.learningonscreen.ac.uk/trilt-cover-images/1582A9EF-Question-Time-2020-02-27T223500Z-BBC1-London.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/1582A9EF-Question-Time-2020-02-27T223500Z-BBC1-London-en-GB.vtt,Y,,Y,"Given to the current strains on the NHS, is the government prepared for a coronavirus pandemic?",,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/1582A9EF-Question-Time-2020-02-27T223500Z-BBC1-London-en-GB.vtt""",,,,,,,,,,,,,
05/03/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/158EEE39?bcast=131487561,https://stream.learningonscreen.ac.uk/trilt-cover-images/158EEE39-Question-Time-2020-03-05T223500Z-BBC1-London.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/158EEE39-Question-Time-2020-03-05T223500Z-BBC1-London-en-GB.vtt,Y,,Y,How concerned about coronavirus should we be?,,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/158EEE39-Question-Time-2020-03-05T223500Z-BBC1-London-en-GB.vtt""",,,,,,,,,,,,,
12/03/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/159BB546?bcast=131529750,https://stream.learningonscreen.ac.uk/trilt-cover-images/159BB546-Question-Time-2020-03-12T224000Z-BBC1-London.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/159BB546-Question-Time-2020-03-12T224000Z-BBC1-London-en-GB.vtt,Y,,Y,Every European country seems to be taking pro—active action in regards to the coronavirus pandemic. Is our government doing enough?,,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/159BB546-Question-Time-2020-03-12T224000Z-BBC1-London-en-GB.vtt""",,,,,,,,,,,,,
19/03/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/15A83E00?bcast=131590373,https://stream.learningonscreen.ac.uk/trilt-cover-images/15A83E00-Question-Time-2020-03-19T224500Z-BBC1-London.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/15A83E00-Question-Time-2020-03-19T200000Z-BBC1-London-en-GB.vtt,Y,,Y,The situation with the coronavirus is a worrying time for us all. Not least as working in what are unprecedented circumstances for the health service. Many junior doctors are frightened that we will be in the same position as Italy in a few weeks with the coronavirus pandemic. How are you going to ration ventilators and other vital equipment for patients and protective equipment for staff when the NHS becomes overwhelmed?,,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/15A83E00-Question-Time-2020-03-19T200000Z-BBC1-London-en-GB.vtt""",,,,,,,,,,,,,
26/03/2020,https://learningonscreen.ac.uk/ondemand/index.php/prog/15B49F3D?bcast=131645495,https://stream.learningonscreen.ac.uk/trilt-cover-images/15B49F3D-Question-Time-2020-03-26T200000Z-BBC1-London.jpg,https://stream.learningonscreen.ac.uk/trilt-transcripts/15B49F3D-Question-Time-2020-03-26T200500Z-BBC1-London-en-GB.vtt,Y,Doesn't match formula,Y,"As a self—employed tradesmen I was awaiting the Chancellor’s speech to unveil his support package. After listening to what he had to say I feel frustrated and angry. I am one of those self—employed people who has less than 12 months’ books and in his words, he stated, we cannot help you. The Universal Credit option will not help me cover my rent, pay my bills, put food on the table. We do not know how long this is going to last or how long I will be unemployed for. Why couldn’t nothing be put in place to help support us using our bank accounts, and invoices. Or our UTR.",,,"""https://stream.learningonscreen.ac.uk/trilt-transcripts/15B49F3D-Question-Time-2020-03-26T200500Z-BBC1-London-en-GB.vtt""",,,,,,,,,,,,,
